Title,Url,Length,Viewed,Bookmark,Tags,AddDate
"A New Kind of Science - Stephen Wolfram - YouTube",https://www.youtube.com/watch?v=_eC14GonZnU,long,0,,"Stephen Wolfram, automata",1467328294
"21. Chaos and Reductionism - YouTube",https://www.youtube.com/watch?v=_njf8jwEGRo,long,0,,"Robert Sapolsky",1467328294
"22. Emergence and Complexity - YouTube",https://www.youtube.com/watch?v=o_ZuWbX-CyE,long,0,,"Robert Sapolsky",1467328294
"Alan Watts - 'Mushin' The State Of No Mind - YouTube",https://www.youtube.com/watch?v=2ABtVOnwHmo,long,1,,Watts,1467328294
"A New Story of the People: Charles Eisenstein at TEDxWhitechapel - YouTube",https://www.youtube.com/watch?v=Mjoxh4c2Dj0,long,1,,Eisenstein,1467328294
"Filiz Telek interviews Charles Eisenstein for Brave New World: March 2012 - YouTube",https://www.youtube.com/watch?v=HIwEfFzFrhA,short,1,,Eisenstein,1467328294
"Alan Watts: Anarchy - YouTube",https://www.youtube.com/watch?v=cS-govOJGIM,long,1,,Watts,1467328294
"Alan Watts 'Early Chinese Zen' - YouTube",https://www.youtube.com/watch?v=796yg18Iec8,long,1,,Watts,1467328294
"Global Capitalism: May 2016 Monthly Economic Update - YouTube",https://www.youtube.com/watch?v=GL4_5phlV6U,long,1,,Wolff,1467328294
"chris hedges on the fall of america and 2016 - YouTube",https://www.youtube.com/watch?v=hwYBzKE89qI,long,0,,Hedges,1467328294
"Chris Hedges Gives a Heartbreaking Speech on Wages of Rebellion - YouTube",https://www.youtube.com/watch?v=nzNhsNHg7PI,long,0,,Hedges,1467328294
"Richard Wolff: On Bernie Sanders and Socialism - YouTube",https://www.youtube.com/watch?v=IhH-PWjR3b0,long,1,,Wolff,1467328294
"A Cure for Capitalism? Putting the Social Back in Socialism: Rick Wolff - YouTube",https://www.youtube.com/watch?v=zQClsnvWvOQ,long,1,,Wolff,1467328294
"Noam Chomsky on French Intellectual Culture & Post-Modernism (3/8) - YouTube",https://www.youtube.com/watch?v=2cqTE_bPh7M,short,0,,Chomsky,1467328294
"Alan Watts 'Game Theory of Ethics' - YouTube",https://www.youtube.com/watch?v=k9oM59KyQKQ,long,1,,Watts,1467328294
"Alan Watts 'Transcending Duality' - YouTube",https://www.youtube.com/watch?v=1juwI1uzdNs,long,1,,Watts,1467328294
"Alan Watts - To Speak the Truth - YouTube",https://www.youtube.com/watch?v=NIX3r1_ZPRE,short,0,,Watts,1467328294
"The Most Difficult Thing To Explain - Alan Watts - YouTube",https://www.youtube.com/watch?v=51axSV2xgj0,short,1,,Watts,1467328294
"Philosophy of War - Alan Watts - YouTube",https://www.youtube.com/watch?v=kbFin_HlaCg,short,1,,Watts,1467328294
"Alan Watts Video: How To Get Everything You Want In Life - YouTube",https://www.youtube.com/watch?v=nvyrgMzsBJY,short,1,,Watts,1467328294
"Alan Watts - On Nothingness - YouTube",https://www.youtube.com/watch?v=dLrMVous0Ac,short,1,,Watts,1467328294
"Alan Watts On Masturbation,Religion & Love. - YouTube",https://www.youtube.com/watch?v=5xIZfs5xBBc,long,1,,Watts,1467328294
"Alan Watts - Being Completely Here And Now - YouTube",https://www.youtube.com/watch?v=YVjcoh12UuU,short,1,,Watts,1467328294
"Alan Watts - Willing To Die - YouTube",https://www.youtube.com/watch?v=ioFG999aOCs,short,0,,Watts,1467328294
"Adam Savage's Maker Faire 2016 Talk! - YouTube",https://www.youtube.com/watch?v=kdLky-YkOVw,long,0,00h31m00s,Savage,1467328294
"Richard D. Wolff Lecture on Worker Coops: Theory and Practice of 21st Century Socialism - YouTube",https://www.youtube.com/watch?v=a1WUKahMm1s,long,1,,Wolff,1467328294
"Noam Chomsky 2016 - Chris Hedges Interviews Noam Chomsky - Noam Chomsky Debate - YouTube",https://www.youtube.com/watch?v=ZHOF2s2S1oo,long,0,,Chomsky,1467328294
"Alan Watts - The Art of Meditation (Full Lecture) - YouTube",https://www.youtube.com/watch?v=EgHCwsQ1MqI,long,1,,Watts,1467328294
"Richard Wolff: Capitalism's Crisis Deepens - YouTube",https://www.youtube.com/watch?v=yKxnsnULwpU,long,1,,Wolff,1467328294
"ACLU SoCal Lecture: Richard Wolff at Occidental College - YouTube",https://www.youtube.com/watch?v=tyIEH5QQYiI,long,1,,Wolff,1467328294
"Noam Chomsky Interview on US Elections, Trump, Sanders, Inequality, Popular Anger, Republican Party - YouTube",https://www.youtube.com/watch?v=Jb117nZ59Vs,long,0,,Chomsky,1467328294
"Noam Chomsky, 'The Human Species Has Never Faced A Question Like This’ (2016) - YouTube",https://www.youtube.com/watch?v=ILqBEXo_e9Y,long,0,,Chomsky,1467328294
"Bernie Sanders & Noam Chomsky on "" war on drugs "" - YouTube",https://www.youtube.com/watch?v=ATfsZvu0z7M,long,1,,Chomsky,1467328294
